x,l,err_fwd_rel,err_bwd_rel,err_fwd_abs,err_bwd_abs
0.50,45,3.392588920219161e-16,9.907064889059933e-01,4.163336342344337e-17,1.215780758251202e-01
0.50,46,9.351519669636456e-16,1.666569760290561e+01,8.326672684688674e-17,1.483927895184446e+00
0.50,47,1.300476854257667e-15,4.214260774662763e+01,4.163336342344337e-17,1.349150119960025e+00
0.50,48,3.502537881150191e-16,9.920076733474328e-01,4.163336342344337e-17,1.179162578243281e-01
0.50,49,8.041106089593062e-16,1.666801662972516e+01,6.938893903907228e-17,1.438329474746146e+00
0.50,50,1.005342180940042e-15,4.212576279940046e+01,3.122502256758253e-17,1.308388247330843e+00
0.90,0,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00,0.000000000000000e+00
0.90,1,0.000000000000000e+00,9.816501815743536e-02,0.000000000000000e+00,8.834851634169183e-02
0.90,2,0.000000000000000e+00,1.668118840017956e-01,0.000000000000000e+00,1.192704970612839e-01
0.90,3,3.524517538492560e-16,2.539825072962213e-01,1.665334536937735e-16,1.200067346974646e-01
0.90,4,4.004411270063682e-16,4.787868198499251e-01,8.326672684688674e-17,9.955773435254386e-02
0.90,5,1.686602595669128e-16,1.586683484170987e+00,6.938893903907228e-18,6.527814189314940e-02
0.90,6,3.452696876403999e-16,1.026028902869975e-01,8.326672684688674e-17,2.474415549657666e-02
0.90,7,3.018345798925625e-16,3.967812091731038e-02,1.110223024625157e-16,1.459460457842143e-02
0.90,8,1.354968544314112e-16,1.129634456261578e-01,5.551115123125783e-17,4.627953128559065e-02
0.90,9,3.004577858436136e-16,1.778088141785123e-01,1.110223024625157e-16,6.570222133801840e-02
0.90,10,1.054761080263639e-15,2.686695712702537e-01,2.775557561562891e-16,7.069922033097981e-02
0.90,11,3.104827035695290e-15,5.313055704547968e-01,3.608224830031759e-16,6.174482280684856e-02
0.90,12,9.025103821643505e-15,1.023399178346763e+00,3.677613769070831e-16,4.170220070508234e-02
0.90,13,1.717156558094831e-15,8.538594062017817e-02,3.053113317719180e-16,1.518166478324384e-02
0.90,14,6.150301851962847e-16,4.569306450544235e-02,1.665334536937735e-16,1.237243963808893e-02
0.90,15,3.637719415702198e-16,1.169655512918505e-01,1.110223024625157e-16,3.569759876796885e-02
0.90,16,0.000000000000000e+00,1.819672415209964e-01,0.000000000000000e+00,5.064852569093731e-02
0.90,17,6.972734727251839e-16,2.757795111256451e-01,1.387778780781446e-16,5.488821369019620e-02
